ano,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2021,privada,medio,todos (1-4),98.5,941.911.595,323.42,315.02,59.477.982.238,5.6,
2009,privada,medio,todos (1-4),93.3,93.223.619,329.29,310.16,59.574.876,5.6,5.7
2005,privada,medio,todos (1-4),92.7,93.306.619,333.3,306.88,59.648.423,5.6,
2015,privada,medio,todos (1-4),94.5,94.761.264,310.02,307.04,56.404.252,5.3,6.3
2017,privada,medio,todos (1-4),95.7,95.509.303,329.66,314.88,60.333.428,5.8,6.7
2007,privada,medio,todos (1-4),93.8,94.451.666,329.54,306.32,59.036.541,5.6,5.6
2013,privada,medio,todos (1-4),93.8,92.813.331,321.58,306.19,57.899.103,5.4,6
2019,privada,medio,todos (1-4),96.4,96.670.187,334.72,322.1,62.126.436,6,6.8
2011,privada,medio,todos (1-4),93.4,93.998.158,332.89,312.75,60.468.216,5.7,5.8
2019,privada,fundamental,finais (6-9),97.1,97.149.771,302.91,293.64,66.093.335,6.4,7.1
2015,privada,fundamental,finais (6-9),95.3,95.324.093,295.32,285.92,63.540.001,6.1,6.8
2011,privada,fundamental,finais (6-9),94.5,94.449.234,298.42,282.25,63.445.001,6,6.2
2009,privada,fundamental,finais (6-9),94.6,94.573.557,293.89,278.55,6.2075,5.9,6
2013,privada,fundamental,finais (6-9),94.6,94.623.923,293.91,280.91,62.470.002,5.9,6.5
2021,privada,fundamental,finais (6-9),98.6,9.862.482.895,292.52,288.82,63.556.666.667,6.3,
2007,privada,fundamental,finais (6-9),95.1,95.048.928,294.27,273.86,61.358.333,5.8,5.8
2017,privada,fundamental,finais (6-9),96.5,96.499.377,302.67,293.95,66.106.668,6.4,7
2005,privada,fundamental,finais (6-9),94.5,94.499.314,293.54,275.5,6.150.795,5.8,
2005,privada,fundamental,iniciais (1-5),97.1,96.771.181,226.13,211.41,61.236.134,5.9,
2017,privada,fundamental,iniciais (1-5),98.6,98.539.811,251.82,241.61,71.692.595,7.1,7.2
2009,privada,fundamental,iniciais (1-5),97.6,97.619.575,240.74,220.21,65.680.919,6.4,6.3
2021,privada,fundamental,iniciais (1-5),99.1,9.909.987.879,250.06,240.15,71.088.906.838,7,
2011,privada,fundamental,iniciais (1-5),97.7,97.719.741,242.8,222.69,66.529.384,6.5,6.6
2013,privada,fundamental,iniciais (1-5),97.8,97.839.648,244.47,229.55,68.096.342,6.7,6.8
2007,privada,fundamental,iniciais (1-5),97.4,97.679.126,227.72,210.17,61.370.554,6,6
2015,privada,fundamental,iniciais (1-5),98.1,98.099.756,243.55,234.55,68.830.085,6.8,7
2019,privada,fundamental,iniciais (1-5),98.8,98.839.897,253.47,240.71,71.842.332,7.1,7.4
2005,publica,medio,todos (1-4),70.6,75.061.554,260.8,249.27,40.841.885,3.1,
2017,publica,medio,todos (1-4),81.4,82.526.267,260.32,260.42,42.444.873,3.5,4.4
2021,publica,medio,todos (1-4),89.8,893.797.578,262.71,269.79,44.180.338.761,3.9,
2009,publica,medio,todos (1-4),73.7,77.792.972,265.92,262.16,43.488.965,3.4,3.2
